team,oline,qb,rb,wrte,dst
sfo,0.3520126282557223,0.867992766726944,0.6822612085769979,1.0,0.942942942942941
kan,0.5185477505919498,0.9240506329113922,0.3879142300194931,0.5546511627906976,0.27402402402402526
phi,0.5240726124704027,0.8553345388788427,0.0,0.3720930232558137,0.36336336336336394
nyj,0.5564325177584846,0.0,0.3099415204678362,0.4639534883720926,0.9632132132132121
rav,0.653512233622731,0.9222423146473779,0.680311890838206,0.3395348837209302,0.7312312312312299
det,1.0,0.8372513562386981,0.5925925925925921,0.5895348837209302,0.4339339339339343
htx,0.027624309392265456,0.7902350813743217,0.2241715399610138,0.8093023255813949,0.46846846846846724
cin,0.42936069455406534,0.6962025316455696,0.10331384015594569,0.4302325581395343,0.2687687687687692
dal,0.23362273086030028,0.9150090415913199,0.16959064327485374,0.40581395348837157,1.0
buf,0.5074980268350431,0.9529837251356237,0.6569200779727091,0.3453488372093023,0.5195195195195188
mia,0.3007103393843731,0.8589511754068717,1.0,0.6627906976744184,0.721471471471471
cle,0.4530386740331487,0.5045207956600362,0.4756335282651065,0.22093023255813948,0.6771771771771764
gnb,0.5161799526440412,0.7992766726943941,0.2962962962962963,0.3186046511627909,0.6021021021021014
ram,0.5509076558800321,0.8824593128390597,0.7582846003898633,0.38953488372093004,0.2695195195195197
atl,0.7355958958168909,0.8444846292947557,0.5165692007797271,0.0,0.47522522522522426
pit,0.4925019731649569,0.6889692585895117,0.5692007797270953,0.18255813953488342,0.7087087087087065
sea,0.20915548539857953,0.786618444846293,0.539961013645224,0.33139534883720856,0.5510510510510498
tam,0.2865035516969221,0.6835443037974682,0.5886939571150096,0.15465116279069768,0.4121621621621623
jax,0.20994475138121604,0.72875226039783,0.0740740740740744,0.33720930232558066,0.5683183183183171
chi,0.4175217048145221,0.9204339963833632,0.3684210526315792,0.9686046511627899,0.27477477477477485
min,0.3938437253354379,0.9258589511754067,0.6179337231968809,0.5162790697674415,0.8295795795795788
clt,0.7316495659037092,0.2314647377938518,0.13060428849902506,0.2965116279069768,0.671171171171169
rai,0.2991318074191005,0.4792043399638337,0.15594541910331383,0.4767441860465116,0.28603603603603567
nor,0.348066298342542,0.6835443037974682,0.15594541910331383,0.18023255813953476,0.5315315315315301
oti,0.5406471981057615,0.43942133815551543,0.5614035087719298,0.21162790697674394,0.0
sdg,0.46408839779005495,0.833634719710669,0.033138401559454245,0.2860465116279065,0.400150150150151
was,0.5138121546961325,1.0,0.1949317738791425,0.08488372093023244,0.2907907907907914
crd,0.09944751381215511,0.5678119349005424,0.9337231968810915,0.545348837209302,0.1283783783783763
nwe,0.45777426992896597,0.8173598553345387,0.24171539961013622,0.10465116279069742,0.561561561561561
car,0.3417521704814521,0.30018083182640143,0.8421052631578942,0.3825581395348836,0.36711711711711636
nyg,0.0,0.4267631103074141,0.13255360623781698,0.4593023255813953,0.33558558558558627
den,0.5051302288871349,0.969258589511754,0.1773879142300192,0.0720930232558139,0.1118618618618612
