Rank,Name,Team,Position,Final PPG
159,Tyler Higbee,ram,TE,3.096096952523033
160,Isaiah Hodgins,nyg,WR,3.095571792321321
161,Lawrence Cager,nyg,WR,3.095571792321321
162,James Proche,cle,WR,3.077668834707999
163,Jalen Nailor,min,WR,3.064602187973349
164,Brandon Powell,min,WR,3.0625873624649116
165,JuJu Smith-Schuster,nwe,WR,3.0489488893319945
166,Jaelon Darden,cle,WR,3.045413379533218
167,Giovanni Ricci,cle,TE,3.045413379533218
168,Chigoziem Okonkwo,oti,TE,3.04383607406615
169,John Ross,phi,WR,3.0425444525829946
170,Mitchell Wilcox,nwe,TE,3.042406073392015
171,KhaDarel Hodge,atl,WR,3.0392257043382966
172,Kyle Philips,oti,WR,3.0376005361306806
173,Pat Freiermuth,pit,TE,3.0375674820114456
174,Stephen Sullivan,car,TE,3.0342343921069443
175,Mike Strachan,car,WR,3.0342343921069443
176,Tyler Johnson,ram,WR,3.0320776890007375
177,Noah Fant,sea,TE,3.0279080830195997
178,Michael Bandy,den,WR,3.0215006926049957
179,Nelson Agholor,rav,WR,3.0199165133511308
180,Jalen Guyton,rai,WR,3.0171682589643094
181,Denzel Mims,pit,WR,3.010250734869209
182,Racey McMath,dal,WR,3.0094503719035686
183,Dawson Knox,buf,TE,3.0063747960291747
184,Jalen Tolbert,dal,WR,3.006133411088695
185,Cam Sims,car,WR,3.0019789369321637
186,Ian Thomas,car,TE,3.0019789369321637
187,Dante Pettis,chi,WR,2.993842158440111
188,Quez Watkins,pit,WR,2.992109422984709
189,David Sills,den,WR,2.989245237430215
190,Connor Heyward,pit,TE,2.988462043276686
191,Jack Stoll,nyg,TE,2.9882297646044025
192,Zach Gentry,rai,TE,2.9882297646044025
193,Isaiah McKenzie,nyg,WR,2.9882297646044025
194,Miles Boykin,nyg,WR,2.9882297646044025
195,Andy Isabella,buf,WR,2.986090501206778
196,Austin Hooper,nwe,TE,2.985581881670115
197,Grant Calcaterra,phi,TE,2.9803317379012237
198,Jake Bobo,sea,WR,2.977232889403862
199,Peyton Hendershot,dal,TE,2.9771949167287874
200,Josh Oliver,min,TE,2.9758927814223517
201,Jauan Jennings,sfo,WR,2.9732836159211464
202,Trent Sherfield,min,WR,2.9724869164520844
203,Scott Miller,pit,WR,2.9714501435167624
204,Luke Schoonmaker,dal,TE,2.9709825196819577
205,Marcedes Lewis,chi,TE,2.9652102807402807
206,Charlie Woerner,atl,TE,2.962856990944648
207,Durham Smythe,mia,TE,2.9591418241633214
208,Ross Dwelley,atl,TE,2.9577028942288117
209,Equanimeous St. Brown,nor,WR,2.9558008330020282
210,John Bates,was,TE,2.9555987427936046
211,Gerald Everett,chi,TE,2.9548097297214584
212,Collin Johnson,chi,WR,2.953793119996414
213,Mecole Hardman,kan,WR,2.949020970825351
214,Tyler Davis,gnb,TE,2.9466852432646133
215,Tyler Davis,ram,TE,2.9466852432646133
216,Parris Campbell,phi,WR,2.9466852432646133
217,Dyami Brown,was,WR,2.9449154789724616
218,Colby Parkinson,ram,TE,2.94336828244974
219,Jeff Smith,crd,WR,2.942564279173717
220,Chase Claypool,buf,WR,2.9419772429879103
221,Lucas Krull,den,TE,2.935839754852034
222,Kylen Granson,clt,TE,2.934687588234823
223,Ashton Dulin,clt,WR,2.934687588234823
224,Olamide Zaccheaus,was,WR,2.932944318620078
225,Adam Trautman,den,TE,2.932944318620078
226,Mike Gesicki,cin,TE,2.932475850683461
227,Stone Smartt,sdg,TE,2.9265929881443866
228,Will Dissly,sdg,TE,2.9265929881443866
229,David Moore,car,WR,2.9135865480207173
230,Montrell Washington,kan,WR,2.913359650680303
231,Noah Gray,kan,TE,2.9100426898654295
232,Kadarius Toney,kan,WR,2.9100426898654295
233,Albert Okwuegbunam,phi,TE,2.909721787813129
234,Tim Jones,jax,WR,2.903537356323554
235,Luke Farrell,jax,TE,2.903537356323554
236,Josiah Deguara,jax,TE,2.903537356323554
237,Dax Milne,was,WR,2.9021932602154235
238,Tanner Hudson,cin,TE,2.900473941209605
239,Deonte Harty,rav,WR,2.8986856915135935
240,Josh Whyle,oti,TE,2.8954856470015025
241,Kalif Raymond,det,WR,2.8921103364994343
242,Tom Kennedy,det,WR,2.8918567907985095
243,Tylan Wallace,rav,WR,2.8915358887462097
244,Donovan Peoples-Jones,det,WR,2.89046575133668
245,Charlie Kolar,rav,TE,2.888218927931336
246,Andrew Ogletree,clt,TE,2.887898188730847
247,Robert Tonyan,min,TE,2.886724230370277
248,Foster Moreau,nor,TE,2.8865819223757634
249,Ko Kieft,tam,TE,2.883686486143807
250,Johnny Mundt,min,TE,2.883407269555404
251,Chris Conley,sfo,WR,2.8828129295626357
252,Malik Taylor,nyj,WR,2.875009569163325
