,Player,Tm,Age,Pos,G,GS,FGA1,FGM1,FGA2,FGM2,FGA3,FGM3,FGA4,FGM4,FGA5,FGM5,FGA,FGM,Lng,FG%,XPA,XPM,XP%,Year,AV
327,Eddy Pineiro,CAR,28,K,15,0,0,0,6,6,7,7,9,7,7,5,29,25,56,86.2%,20,17,85.0%,2023,3.032575706080253
328,Jason Sanders,MIA,28,K,17,0,0,0,6,6,7,7,8,6,7,5,28,24,57,85.7%,59,58,98.3%,2023,3.526980726460913
329,Ka'imi Fairbairn,HOU,29,K,12,0,0,0,10,10,10,10,2,2,6,5,28,27,54,96.4%,22,21,95.5%,2023,7.045315383527721
330,Jake Moody,SFO,24,K,17,0,0,0,7,7,9,8,6,4,3,2,25,21,57,84.0%,61,60,98.4%,2023,2.438236105914745
331,Chad Ryland,NWE,24,K,17,0,0,0,4,4,7,5,10,5,4,2,25,16,56,64.0%,25,24,96.0%,2023,-2.939936526636975
332,Joey Slye,WAS,27,K,17,0,0,0,3,2,7,7,9,7,5,3,24,19,61,79.2%,35,32,91.4%,2023,1.2516395432607623
333,Brett Maher,LAR,34,K,8,0,0,0,3,3,4,4,9,7,7,3,23,17,54,73.9%,15,13,86.7%,2023,-2.7985363193163266
334,Lucas Havrisik,LAR,24,K,9,0,0,0,8,8,3,3,6,2,3,2,20,15,52,75.0%,22,19,86.4%,2023,-2.6680071317643788
335,Riley Patterson,2TM,24,K,15,0,0,0,3,2,11,11,2,2,2,1,18,16,52,88.9%,44,41,93.2%,2023,3.00752248057906
336,Graham Gano,NYG,36,K,8,0,0,0,2,2,5,3,6,3,4,3,17,11,57,64.7%,8,8,100.0%,2023,-4.939787512839004
337,Matt Ammendola,HOU,27,K,5,0,0,0,2,2,3,3,2,1,2,0,9,6,45,66.7%,11,10,90.9%,2023,-3.954835513902245
338,Mason Crosby,NYG,39,K,3,0,0,0,2,2,2,2,1,0,2,1,7,5,52,71.4%,7,6,85.7%,2023,-4.176096947995909
339,Randy Bullock,NYG,34,K,6,0,0,0,0,0,2,2,3,2,1,1,6,5,56,83.3%,10,10,100.0%,2023,3.1466682773320738
340,Michael Badgley,DET,28,K,4,0,0,0,0,0,3,3,1,1,0,0,4,4,41,100.0%,15,13,86.7%,2023,4.24945919488239
341,Austin Seibert,NYJ,27,K,1,0,0,0,0,0,1,1,0,0,0,0,1,1,34,100.0%,1,1,100.0%,2023,5.130587158856726
342,Dare Ogunbowale,HOU,29,RB,12,0,0,0,1,1,0,0,0,0,0,0,1,1,29,100.0%,0,0,0,2023,3.2506215544685144
343,Jamie Gillan,NYG,26,P,17,0,0,0,0,0,0,0,1,1,0,0,1,1,40,100.0%,0,0,0,2023,3.3193731207748964
344,Matthew Wright,CAR,27,K,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0%,0,0,0,2023,-11.7203486464315
