,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,player_id,season,player_display_name,team,GP,position,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,age,status,y/c,y/g,c/g,y/rec,rec/g,y/tgt,catch %,touches,y/touch,rrtd,rb,wrte,receiving_AV,rushing_AV,YearsBack
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,00-0022999,2017,John Kuhn,nor,1,RB,REG,1,2.0,0,0.0,0.0,1.0,0.0828106729313731,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023883448770002,34.0,RES,2.0,2.0,1.0,,0.0,,,1,2.0,0,14.448955241735035,43.68058773008788,0.0,0.0139603432287295,7
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,00-0023437,2013,Ronnie Brown,sdg,12,RB,REG,45,157.0,1,0.0,0.0,8.0,-1.680792734801595,0,8,8,60.0,0,0.0,0.0,5.0,55.0,3.0,4.75602777604945,0,-5.3,0.217506105006105,0.0139210687775095,0.3360039056534141,0.0,27.700000000000003,12,0.0199004975124378,0.0016129032258064,0.036472148541114,0.0311410688493018,0.0176004693458492,0.0,0.0170454545454545,0.0149253731343283,0.0088002346729246,0.0140803754766793,0.1492537313432835,0.0302963440714212,31.0,ACT,3.488888888888889,13.083333333333334,3.75,7.5,0.6666666666666666,7.5,100.0,53,4.09433962264151,1,13.009566953032737,42.225310655870985,0.5853786135287106,1.0394412272906564,11
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,00-0023437,2014,Ronnie Brown,sdg,8,RB,REG,20,63.0,0,0.0,0.0,5.0,-3.359922522301181,0,5,8,44.0,0,0.0,0.0,12.0,30.0,1.0,0.1636921744793653,0,1.35,0.208648595712973,0.0360715614824317,0.3382229866071617,0.0,10.7,8,0.0283687943262411,0.0045489006823351,0.0414937759336099,0.0461923120352297,0.022633744855967,0.0,0.0096153846153846,0.0083333333333333,0.0113168724279835,0.0181069958847736,0.1560283687943262,0.0234377332576956,32.0,ACT,3.15,7.875,2.5,8.8,0.625,5.5,62.5,25,4.28,0,8.264479617831388,35.00379478658414,0.3758338142044173,0.3808794556864502,10
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,00-0023437,2014,Ronnie Brown,sdg,8,RB,REG,20,63.0,0,0.0,0.0,5.0,-3.359922522301181,0,5,8,44.0,0,0.0,0.0,12.0,30.0,1.0,0.1636921744793653,0,1.35,0.208648595712973,0.0360715614824317,0.3382229866071617,0.0,10.7,8,0.0283687943262411,0.0045489006823351,0.0414937759336099,0.0461923120352297,0.022633744855967,0.0,0.0096153846153846,0.0083333333333333,0.0113168724279835,0.0181069958847736,0.1560283687943262,0.0234377332576956,32.0,ACT,3.15,7.875,2.5,8.8,0.625,5.5,62.5,25,4.28,0,8.264479617831388,35.00379478658414,0.3758338142044173,0.3808794556864502,10
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,00-0023500,2013,Frank Gore,sfo,16,RB,REG,276,1128.0,9,3.0,3.0,55.0,-32.703733754976696,0,16,26,141.0,0,0.0,0.0,126.0,101.0,5.0,-9.580958948318743,0,10.613009797220323,1.0346730865956548,0.544374348127946,1.933071673583044,0.0,174.9,16,0.0623501199040767,0.0318987341772151,0.075429424943988,0.1190441671978872,0.0439252336448598,0.0,0.0337837837837837,0.029585798816568,0.0219626168224299,0.0351401869158878,0.3381294964028777,0.1578338156262918,30.0,ACT,4.086956521739131,70.5,17.25,8.8125,1.0,5.423076923076923,61.53846153846154,292,4.345890410958904,9,14.891843060300976,32.59835578953429,1.5429231843989035,7.631984994102454,11
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,00-0023500,2014,Frank Gore,sfo,16,RB,REG,255,1106.0,4,2.0,2.0,53.0,-24.917688043564056,0,11,19,111.0,1,0.0,0.0,84.0,102.0,2.0,1.445328401925508,0,12.904761904761903,0.6211295468510611,0.3048742985983545,1.1451063292954398,0.0,147.70000000000002,16,0.0390143737166324,0.0177327422419252,0.0732232591529074,0.0727077543684888,0.0325799823891987,0.05,0.0121212121212121,0.0162162162162162,0.0412899911945993,0.0360639859113589,0.2279260780287474,0.1317471649869664,31.0,ACT,4.337254901960784,69.125,15.9375,10.090909090909092,0.6875,5.842105263157895,57.89473684210527,266,4.575187969924812,5,11.741566262435027,26.49370916154513,0.960105033278325,5.9679100580207445,10
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,00-0023500,2015,Frank Gore,clt,16,RB,REG,260,967.0,6,4.0,3.0,44.0,-49.75316217262298,0,34,58,267.0,1,0.0,0.0,-13.0,273.0,10.0,-0.511967734170327,0,54.80555555555555,1.5178418493078154,-0.0739603384714787,2.224990537031688,0.0,159.4,16,0.0936995153473344,-0.0024597918637653,0.1657559198542805,0.1385814395299893,0.0679735234215885,0.0384615384615384,0.0512820512820512,0.0497737556561085,0.0532175309415635,0.0620711264295785,0.431340872374798,0.1493759268413247,32.0,ACT,3.719230769230769,60.4375,16.25,7.852941176470588,2.125,4.603448275862069,58.620689655172406,294,4.197278911564626,7,7.591179023374244,28.16513621835524,2.030262249001309,5.104777549097979,9
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,00-0023500,2016,Frank Gore,clt,16,RB,REG,263,1025.0,4,2.0,1.0,50.0,-24.409346072387304,0,38,47,277.0,4,0.0,0.0,1.0,286.0,14.0,10.145314327673988,0,-18.25555555555556,1.315025432505015,0.0115250191847859,1.9806056621868728,0.0,176.20000000000002,16,0.0806174957118353,0.0002062706270627,0.1588888888888888,0.1210912600694031,0.0616789133823202,0.125,0.0636363636363636,0.0714285714285714,0.0933394566911601,0.0743431307058561,0.4751286449399657,0.1398592266607467,33.0,ACT,3.897338403041825,64.0625,16.4375,7.2894736842105265,2.375,5.893617021276596,80.85106382978722,301,4.325581395348837,8,10.554013306626016,39.22734854921861,2.585905651626262,6.644879385314291,8
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,00-0023500,2017,Frank Gore,clt,16,RB,REG,261,961.0,3,3.0,0.0,49.0,-24.00169583165191,0,29,38,245.0,1,0.0,0.0,-26.0,275.0,9.0,4.851583616653631,0,5.680555555555555,1.3022527222756055,-0.128698284255983,1.8632902844342203,0.0,144.6,16,0.0780287474332648,-0.0070690592713431,0.1670716889428918,0.1113878737328228,0.0759454432734035,0.0769230769230769,0.0608108108108108,0.062111801242236,0.0764342600982402,0.0761409700033382,0.5030800821355236,0.1624342683908153,34.0,ACT,3.681992337164751,60.0625,16.3125,8.448275862068966,1.8125,6.447368421052632,76.31578947368422,290,4.158620689655172,4,9.391053956769545,25.08771415694489,2.125342312742565,5.433355118877503,7
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,00-0023500,2018,Frank Gore,mia,14,RB,REG,156,722.0,0,1.0,0.0,25.0,-3.905759742305973,0,12,16,124.0,1,0.0,0.0,21.0,115.0,8.0,6.865175573417218,0,4.266666666666666,0.5888371125442063,0.1054446613897708,0.9570669317891491,0.0,90.6,14,0.0399002493765586,0.0062686567164179,0.0727387729285262,0.0648652994379722,0.0411549950215731,0.0416666666666666,0.0588235294117647,0.05625,0.0414108308441199,0.0412573293505918,0.3092269326683292,0.0929752066115702,35.0,RES,4.628205128205129,51.57142857142857,11.142857142857142,10.333333333333334,0.8571428571428571,7.75,75.0,168,5.035714285714286,1,9.640880435241574,24.88479771680209,1.0640396265115375,4.00501477229253,6
