,Player,team,Age,Pos,G,GS,FGA1,FGM1,FGA2,FGM2,FGA3,FGM3,FGA4,FGM4,FGA5,FGM5,FGA,FGM,Lng,FG%,XPA,XPM,XP%,season,AV,fantasy_points
325,Nick Folk,oti,39,K,17,0,0,0,9,9,9,9,6,6,6,5,30,29,53,0.9670000000000001,30,28,0.9329999999999999,2023,6.344450599405076,129.5
326,Tyler Bass,buf,26,K,17,0,0,0,4,4,13,12,6,4,6,4,29,24,54,0.828,50,49,0.98,2023,2.167236777857874,129.0
327,Eddy Pineiro,car,28,K,15,0,0,0,6,6,7,7,9,7,7,5,29,25,56,0.862,20,17,0.85,2023,3.032575706080253,105.0
328,Jason Sanders,mia,28,K,17,0,0,0,6,6,7,7,8,6,7,5,28,24,57,0.857,59,58,0.983,2023,3.526980726460913,143.0
329,Ka'imi Fairbairn,htx,29,K,12,0,0,0,10,10,10,10,2,2,6,5,28,27,54,0.9640000000000001,22,21,0.955,2023,7.045315383527721,113.0
330,Jake Moody,sfo,24,K,17,0,0,0,7,7,9,8,6,4,3,2,25,21,57,0.84,61,60,0.9840000000000001,2023,2.438236105914745,127.5
331,Chad Ryland,nwe,24,K,17,0,0,0,4,4,7,5,10,5,4,2,25,16,56,0.64,25,24,0.96,2023,-2.939936526636975,73.75
332,Joey Slye,was,27,K,17,0,0,0,3,2,7,7,9,7,5,3,24,19,61,0.792,35,32,0.914,2023,1.2516395432607623,97.0
333,Brett Maher,lar,34,K,8,0,0,0,3,3,4,4,9,7,7,3,23,17,54,0.7390000000000001,15,13,0.867,2023,-2.798536319316326,72.5
334,Lucas Havrisik,lar,24,K,9,0,0,0,8,8,3,3,6,2,3,2,20,15,52,0.75,22,19,0.8640000000000001,2023,-2.6680071317643788,65.0
335,Riley Patterson,2tm,24,K,15,0,0,0,3,2,11,11,2,2,2,1,18,16,52,0.889,44,41,0.932,2023,3.00752248057906,90.0
336,Graham Gano,nyg,36,K,8,0,0,0,2,2,5,3,6,3,4,3,17,11,57,0.647,8,8,1.0,2023,-4.939787512839004,45.25
337,Matt Ammendola,htx,27,K,5,0,0,0,2,2,3,3,2,1,2,0,9,6,45,0.667,11,10,0.909,2023,-3.954835513902245,26.75
338,Mason Crosby,nyg,39,K,3,0,0,0,2,2,2,2,1,0,2,1,7,5,52,0.7140000000000001,7,6,0.857,2023,-4.176096947995909,21.25
339,Randy Bullock,nyg,34,K,6,0,0,0,0,0,2,2,3,2,1,1,6,5,56,0.833,10,10,1.0,2023,3.1466682773320738,28.25
340,Michael Badgley,det,28,K,4,0,0,0,0,0,3,3,1,1,0,0,4,4,41,1.0,15,13,0.867,2023,4.24945919488239,25.0
341,Austin Seibert,nyj,27,K,1,0,0,0,0,0,1,1,0,0,0,0,1,1,34,1.0,1,1,1.0,2023,5.130587158856726,4.0
342,Dare Ogunbowale,htx,29,RB,12,0,0,0,1,1,0,0,0,0,0,0,1,1,29,1.0,0,0,0.0,2023,3.2506215544685144,3.0
343,Jamie Gillan,nyg,26,P,17,0,0,0,0,0,0,0,1,1,0,0,1,1,40,1.0,0,0,0.0,2023,3.3193731207748964,4.0
344,Matthew Wright,car,27,K,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0.0,2023,-11.7203486464315,-0.5
