,player_id,season,player_display_name,team,GP,position,age,season_type,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions,special_teams_tds,rrtd,fantasy_points,oline,qb,rb,wrte,dst
19,00-0022044,2013,Andre Johnson,htx,16,WR,32.0,REG,0,0.0,0,0.0,0.0,0,109,181,1407.0,5,0.0,2004.0,405.0,69.0,0,0.0,5,170.70000000000002,32.328801453543015,8.20510302659651,7.2364731804188915,23.35298553723622,94.61976801365309
20,00-0022044,2014,Andre Johnson,htx,15,WR,33.0,REG,0,0.0,0,0.0,0.0,0,85,147,936.0,3,3.0,1358.0,389.0,49.0,0,0.0,3,105.6,41.84851580152908,10.013593759243888,11.70439681089687,28.50022839169414,121.54423465185134
21,00-0022044,2015,Andre Johnson,clt,16,WR,34.0,REG,0,0.0,0,0.0,0.0,0,41,77,503.0,4,0.0,792.0,147.0,31.0,0,0.0,4,74.30000000000001,38.04347826086956,9.895858671314002,7.591179023374244,28.16513621835524,92.74540677648709
22,00-0022044,2016,Andre Johnson,oti,6,WR,35.0,REG,0,0.0,0,0.0,0.0,0,9,23,85.0,2,0.0,268.0,15.0,4.0,0,0.0,2,20.5,48.94991206160121,11.805217698039776,13.33521101992232,33.59946575595936,104.22465972880948
23,00-0022054,2013,Visanthe Shiancoe,oti,1,TE,33.0,REG,0,0.0,0,0.0,0.0,0,2,2,2.0,0,0.0,-3.0,5.0,0.0,0,0.0,0,0.2,46.36300983647641,11.44295342345948,11.6242524827737,32.56840589753852,98.901065724723
24,00-0022084,2013,Anquan Boldin,sfo,16,WR,32.0,REG,2,11.0,0,0.0,1.0,0,85,129,1179.0,7,0.0,1230.0,425.0,62.0,0,0.0,7,161.0,49.1197293402669,11.45347635848502,14.891843060300976,32.59835578953429,125.23412092002664
25,00-0022084,2014,Anquan Boldin,sfo,16,WR,33.0,REG,1,4.0,0,0.0,0.0,0,83,131,1062.0,5,0.0,1270.0,400.0,56.0,0,0.0,5,136.60000000000002,39.61989661683226,9.30860051621856,11.741566262435027,26.49370916154513,102.92424740413996
26,00-0022084,2015,Anquan Boldin,sfo,14,WR,34.0,REG,0,0.0,0,0.0,0.0,0,69,111,789.0,4,1.0,894.0,282.0,35.0,0,0.0,4,100.9,31.620553359683797,8.001998309244685,7.167747457602529,22.774918264773333,89.74858760851193
27,00-0022084,2016,Anquan Boldin,det,16,WR,35.0,REG,0,0.0,0,0.0,0.0,0,67,95,584.0,8,0.0,546.0,231.0,41.0,0,0.0,8,106.4,49.18638506672972,13.141133097268206,8.480842475197958,37.401686507609504,85.85394991977203
28,00-0022097,2014,Brandon Lloyd,sfo,12,WR,33.0,REG,0,0.0,0,0.0,0.0,0,14,35,294.0,1,0.0,677.0,74.0,11.0,0,0.0,1,35.4,39.61989661683226,9.30860051621856,11.741566262435027,26.49370916154513,102.92424740413996
29,00-0022127,2013,Jason Witten,dal,16,TE,31.0,REG,0,0.0,0,0.0,0.0,0,73,111,851.0,8,0.0,911.0,323.0,44.0,0,0.0,8,133.1,54.633168347847885,14.25270732153566,10.741696934588004,40.5653977612938,78.06752608962553
30,00-0022127,2014,Jason Witten,dal,16,TE,32.0,REG,0,0.0,0,0.0,0.0,0,64,90,703.0,5,0.0,831.0,229.0,48.0,0,0.0,5,100.3,61.65846410994521,14.850640875089786,16.872307412358158,42.26720864448631,100.15357060500608
31,00-0022127,2015,Jason Witten,dal,16,TE,33.0,REG,0,0.0,0,0.0,0.0,0,77,104,713.0,3,1.0,727.0,230.0,36.0,0,0.0,3,87.30000000000001,37.055335968379445,9.137768846170102,9.321138369093406,26.007495946791828,97.40346502262123
32,00-0022127,2016,Jason Witten,dal,15,TE,34.0,REG,0,0.0,0,0.0,0.0,0,69,95,673.0,3,1.0,596.0,273.0,33.0,0,0.0,3,83.3,57.935886256484544,13.803233279265337,16.43370474137631,39.2861254871398,103.14282960087957
