Unnamed: 0,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP,VBD,Normalized VBD,Normalized ADP,Weighted Score
13,1,Christian McCaffrey,SF,RB1,17.612640334767317,9,1.0,6.181250873089962,0.9922187701611156,0.0,0.9976656310483346
40,2,Tyreek Hill,MIA,WR1,14.766578028219538,6,2.0,5.302717392915504,0.9553250011276556,0.004016064257028112,0.9837862553583769
15,3,Bijan Robinson,ATL,RB2,17.24767921388006,12,5.0,5.816289752202703,0.9768923294459213,0.01606425702811245,0.9818227189140977
30,4,Amon-Ra St. Brown,DET,WR2,15.487352787851028,5,7.0,6.023492152546995,0.9855937365908861,0.024096385542168676,0.9788106510977477
34,5,Justin Jefferson,MIN,WR3,15.239608428154758,6,8.0,5.775747792850725,0.9751897811444055,0.028112449799196786,0.9728782194838839
55,6,CeeDee Lamb,DAL,WR4,13.72180203615252,7,3.0,4.257941400848486,0.9114499240669949,0.008032128514056224,0.967812487260259
16,7,Jahmyr Gibbs,DET,RB3,17.235040074629975,5,12.0,5.8036506129526195,0.9763615523101635,0.04417670682730924,0.9619847709139325
11,8,Kyren Williams,LAR,RB4,17.797930997919476,6,15.0,6.366541536242121,1.0,0.05622489959839357,0.9606425702811243
35,9,Puka Nacua,LAR,WR5,15.177479232565451,6,14.0,5.7136185972614175,0.9725806828641085,0.05220883534136546,0.9552280201202767
44,10,Breece Hall,NYJ,RB5,14.393818714096671,12,4.0,2.962429252419316,0.8570452518913869,0.012048192771084338,0.9486798406276569
64,11,A.J. Brown,PHI,WR6,13.115649120536892,5,9.0,3.651788485232858,0.8859947010477875,0.0321285140562249,0.9433084504749788
21,12,Isiah Pacheco,KC,RB6,16.449762028154996,6,17.0,5.018372566477641,0.9433840192650468,0.0642570281124498,0.9380352861007991
88,13,Travis Kelce,KC,TE1,10.582038165953032,6,18.0,3.4320994830581615,0.8767689225335583,0.06827309236947791,0.915239512101433
45,14,Derrick Henry,BAL,RB7,14.287703946766127,14,16.0,2.856314485088772,0.8525889917655292,0.060240963855421686,0.9136080228308636
67,15,Sam LaPorta,DET,TE2,12.229939966353571,5,26.0,5.080001283458701,0.945972100085457,0.10040160642570281,0.9135105055276451
66,16,Chris Olave,NO,WR7,12.25986455683171,12,20.0,2.796003921527676,0.8500562664311924,0.07630522088353414,0.9016032253108837
65,17,Davante Adams,LV,WR8,12.372823361984414,10,21.0,2.9089627266803806,0.8547999400209252,0.08032128514056225,0.9002150824078838
70,18,Saquon Barkley,PHI,RB8,11.711452025787002,5,10.0,0.280062564109647,0.7444000092287029,0.03614457831325301,0.8980187979493337
41,19,Stefon Diggs,HOU,WR9,14.636946005644983,14,32.0,5.173085370340949,0.9498811404118908,0.12449799196787148,0.8978157477460571
80,20,Jonathan Taylor,IND,RB9,11.194065033220667,14,11.0,-0.237324428456688,0.7226724864473647,0.040160642570281124,0.8886892961350126
109,21,Garrett Wilson,NYJ,WR10,9.39312547984924,12,13.0,-0.07073515545479303,0.7296683566108596,0.04819277108433735,0.8851655672242217
1,22,Josh Allen,BUF,QB1,20.247056731408453,12,25.0,2.4832856137573636,0.8369237481154177,0.0963855421686747,0.8836072449165531
47,23,Nico Collins,HOU,WR11,14.074356038034546,14,37.0,4.610495402730512,0.9262553312720505,0.14457831325301204,0.8766717801045066
33,24,Rachaad White,TB,RB10,15.311640837879002,11,38.0,3.880251376201647,0.8955889365804449,0.14859437751004015,0.8646606167171054
84,25,Mike Evans,TB,WR12,11.007811743498443,11,28.0,1.5439511081944097,0.7974766569396584,0.10843373493975904,0.8633393826240661
52,26,Brandon Aiyuk,SF,WR13,13.877315695337334,9,41.0,4.4134550600333,0.9179806769102143,0.1606425702811245,0.8629444038762771
63,27,James Cook,BUF,RB11,13.166239072993072,12,29.0,1.7348496113157168,0.8054933864575728,0.11244979919678715,0.8629331564995208
57,28,Joe Mixon,HOU,RB12,13.591408452136577,14,33.0,2.1600189904592213,0.823348256224295,0.1285140562248996,0.8570446375098586
5,29,Lamar Jackson,BAL,QB2,19.45538056515012,14,31.0,1.6916094474990295,0.8036775278103816,0.12048192771084337,0.8567659089455242
43,30,Jaylen Waddle,MIA,WR14,14.617980611947068,6,49.0,5.154119976643035,0.9490846939809812,0.1927710843373494,0.8497856491581497
9,31,Jalen Hurts,PHI,QB3,17.993494235659334,5,27.0,0.22972311800824485,0.7422860181974578,0.10441767068273092,0.8495934359813256
60,32,Alvin Kamara,NO,RB13,13.41749364565467,12,35.0,1.9861041839773144,0.8160447523207577,0.13654618473895583,0.8492310963789582
98,33,Mark Andrews,BAL,TE3,10.012713112167653,14,40.0,2.8627744292727826,0.8528602753239505,0.1566265060240964,0.8462195283803177
69,34,George Kittle,SF,TE4,11.732769549928795,9,51.0,4.582830867033925,0.9250935667935868,0.20080321285140562,0.8369658210420919
24,35,Aaron Jones,MIN,RB14,16.293523818451867,6,55.0,4.8621343567745114,0.9368228391244289,0.21686746987951808,0.8292396228216659
74,36,DeVonta Smith,PHI,WR15,11.346836462644982,5,44.0,1.8829758273409478,0.8117139056809837,0.17269076305220885,0.8226306375677489
116,37,Drake London,ATL,WR16,9.091108607940724,12,34.0,-0.37275202736331003,0.7169852421162497,0.13253012048192772,0.8223244882975255
68,38,Josh Jacobs,GB,RB15,12.0713609869229,10,39.0,0.639971525245544,0.7595142859009859,0.15261044176706828,0.8210269765333479
7,39,C.J. Stroud,HOU,QB4,18.55139919653317,14,42.0,0.7876280788820793,0.7657150817830748,0.1646586345381526,0.8144534803582155
