Rank,Name,Team,Position,Final PPG
191,Trent Taylor,sfo,WR,4.524259395293921
192,Jauan Jennings,sfo,WR,4.517474302804749
193,Deonte Harty,rav,WR,4.516590158800048
194,Trent Sherfield,min,WR,4.498148905808503
195,Mitchell Wilcox,nwe,TE,4.4975806319216485
196,Quintin Morris,buf,TE,4.4864905235860055
197,Malik Taylor,nyj,WR,4.472333565619384
198,James Proche,cle,WR,4.469231549847358
199,Eric Saubert,sfo,TE,4.46711784458194
200,Freddie Swain,chi,WR,4.4584811136688
201,Denzel Mims,pit,WR,4.440403019870827
202,Chris Conley,sfo,WR,4.4351211561116965
203,Trenton Irwin,cin,WR,4.428469904588376
204,Donald Parham,sdg,TE,4.423780951520911
205,Cade Otton,tam,TE,4.419510230836734
206,Brandon Johnson,den,WR,4.417700289209113
207,Robert Tonyan,min,TE,4.401192358749598
208,Dyami Brown,was,WR,4.397401754259931
209,Adam Trautman,den,TE,4.390645687277733
210,Tyler Higbee,ram,TE,4.386264775359417
211,Jordan Akins,cle,TE,4.378205203336247
212,Josh Oliver,min,TE,4.373991069309833
213,Isaiah Hodgins,nyg,WR,4.373644511342908
214,Lawrence Cager,nyg,WR,4.373644511342908
215,Giovanni Ricci,cle,TE,4.357446128969727
216,JuJu Smith-Schuster,nwe,WR,4.344276059068763
217,Johnny Mundt,min,TE,4.34344647281192
218,MyCole Pruitt,pit,TE,4.34344647281192
219,Donovan Peoples-Jones,det,WR,4.34058473403783
220,Noah Gray,kan,TE,4.339914079671578
221,Dawson Knox,buf,TE,4.316350608005192
222,Marcedes Lewis,chi,TE,4.311913750141138
223,Michael Bandy,den,WR,4.298084468192517
224,James Mitchell,det,TE,4.286545199097876
225,David Sills,den,WR,4.271029866261137
226,Lucas Krull,den,TE,4.271029866261137
227,Phillip Dorsett,den,WR,4.258090662393843
228,Mike Gesicki,cin,TE,4.2376486887386395
229,Ko Kieft,tam,TE,4.22029606550104
230,Olamide Zaccheaus,was,WR,4.216631150002056
231,Jalen Guyton,rai,WR,4.21583343855392
232,Zach Pascal,crd,WR,4.204752696904099
233,Ross Dwelley,atl,TE,4.1880880255864845
234,Josiah Deguara,jax,TE,4.1836091537986855
235,Luke Farrell,jax,TE,4.1836091537986855
236,Parris Campbell,phi,WR,4.1836091537986855
237,Grant Calcaterra,phi,TE,4.1836091537986855
238,Albert Okwuegbunam,phi,TE,4.1836091537986855
239,Drew Sample,cin,TE,4.1836091537986855
240,Foster Moreau,nor,TE,4.174420449346285
241,Will Dissly,sdg,TE,4.174420449346285
242,Stone Smartt,sdg,TE,4.174420449346285
243,Jeff Smith,crd,WR,4.169856076394155
244,Tanner Hudson,cin,TE,4.163349914879748
245,Jake Bobo,sea,WR,4.1622941261830455
246,Jack Stoll,nyg,TE,4.161793903613966
247,Andy Isabella,buf,WR,4.1577261799906795
248,Hayden Hurst,sdg,TE,4.157252634694766
249,Allen Robinson,nyg,WR,4.150556289510242
250,Devin Asiasi,oti,TE,4.148598256445337
251,Nick Vannett,oti,TE,4.142824988666979
252,Mecole Hardman,kan,WR,4.137713908776709
253,KhaDarel Hodge,atl,WR,4.130021398002257
254,Colby Parkinson,ram,TE,4.125435987164641
255,Kyle Philips,oti,WR,4.109652115263308
256,John Bates,was,TE,4.09701532898546
257,Parker Hesse,det,TE,4.095911595284246
258,Sean McKeon,det,TE,4.095911595284246
259,Josh Whyle,oti,TE,4.082597513331928
260,Tommy Sweeney,chi,TE,4.080572358064728
261,Collin Johnson,chi,WR,4.076866007067005
262,Jamison Crowder,was,WR,4.054098316866508
263,Tyler Davis,gnb,TE,4.046545094338746
264,Noah Fant,sea,TE,4.042838743341022
265,Chase Claypool,buf,WR,4.042838743341022
266,Anthony Firkser,det,TE,4.038165709346569
267,Brock Wright,det,TE,4.038165709346569
268,Tom Kennedy,det,WR,4.038165709346569
269,Charlie Woerner,atl,TE,4.018840312350323
270,Sterling Shepard,tam,WR,4.017725613723833
271,Pharaoh Brown,sea,TE,4.014866983070469
272,Tyler Davis,ram,TE,4.0035010751308056
273,Tyler Johnson,ram,WR,3.9997947241330816
274,Austin Hooper,nwe,TE,3.9961612960877213
275,Ian Thomas,car,TE,3.9745837191696594
276,Cam Sims,car,WR,3.9745837191696594
277,Mike Strachan,car,WR,3.970877368171936
278,Stephen Sullivan,car,TE,3.970877368171936
279,David Moore,car,WR,3.916837833231982
