Rank,Name,Team,Position,Final PPG
127,Durham Smythe,mia,TE,3.2937086405416007
128,Braxton Berrios,mia,WR,3.282799629613382
129,Juwann Winfree,clt,WR,3.2810715981000467
130,Josh Downs,clt,WR,3.2778803079825787
131,Collin Johnson,chi,WR,3.2735904744895223
132,Giovanni Ricci,cle,TE,3.270109370520164
133,James Proche,cle,WR,3.270109370520164
134,Jordan Akins,cle,TE,3.270109370520164
135,Daniel Bellinger,nyg,TE,3.2525124803603425
136,Racey McMath,dal,WR,3.2513048884859437
137,Andy Isabella,buf,WR,3.248377887552707
138,Jack Stoll,nyg,TE,3.2201686006930386
139,Allen Robinson,nyg,WR,3.2201686006930386
140,Miles Boykin,nyg,WR,3.2201686006930386
141,Travis Kelce,kan,TE,3.215745158452842
142,Austin Hooper,nwe,TE,3.207337289116696
143,Trey McBride,crd,TE,3.2008177134730302
144,John Bates,was,TE,3.198070386021764
145,Tyler Davis,gnb,TE,3.191374468770793
146,Tyler Davis,ram,TE,3.182107565675861
147,Tyron Johnson,dal,WR,3.174874596154624
148,Michael Bandy,den,WR,3.173342596165074
149,David Sills,den,WR,3.173342596165074
150,Jake Ferguson,dal,TE,3.169031513837573
151,Dyami Brown,was,WR,3.164511571406612
152,Luke Musgrave,gnb,TE,3.14735948255275
153,Courtland Sutton,den,WR,3.1438640741900663
154,Parris Campbell,phi,WR,3.1426953781874967
155,Grant Calcaterra,phi,TE,3.1426953781874967
156,James Mitchell,det,TE,3.1399744884397465
157,Noah Fant,sea,TE,3.132368634630491
158,Connor Heyward,pit,TE,3.131163019988112
159,Zach Pascal,crd,WR,3.1266939784427485
160,Jeff Smith,crd,WR,3.1266939784427485
161,Romeo Doubs,gnb,WR,3.124713734159864
162,Phillip Dorsett,den,WR,3.1091744223296254
163,Kylen Granson,clt,TE,3.1036159730199993
164,Tyler Johnson,ram,WR,3.103328604678696
165,Dallas Goedert,phi,TE,3.0774290731650473
166,Malik Heath,gnb,WR,3.0718045098947773
167,Brevin Jordan,htx,TE,3.029490223349196
168,Sean McKeon,det,TE,2.999708468886615
169,Brock Wright,det,TE,2.9932870026249017
170,Luke Farrell,jax,TE,2.9756721498705327
171,Tim Jones,jax,WR,2.9756721498705327
172,Ian Thomas,car,TE,2.9755519242548303
173,Mike Strachan,car,WR,2.9682296800706083
174,Cam Sims,car,WR,2.950041936506372
175,Stephen Sullivan,car,TE,2.950041936506372
176,Malik Taylor,nyj,WR,2.947186783303867
177,Stone Smartt,sdg,TE,2.9262519271590137
178,Denzel Mims,pit,WR,2.9204105187497778
179,Justin Watson,kan,WR,2.9199211723513816
180,Kyle Philips,oti,WR,2.9037306489241552
181,Drew Sample,cin,TE,2.903299117160393
182,John Ross,phi,WR,2.8992867576552563
183,Kyle Pitts,atl,TE,2.896809521624477
184,Greg Dulcich,den,TE,2.8954007889636952
185,Tanner Hudson,cin,TE,2.891697034820825
186,Isaiah Likely,rav,TE,2.878345378419627
187,Greg Dortch,crd,WR,2.876181832929778
188,Dax Milne,was,WR,2.872164015394895
189,Robert Woods,htx,WR,2.8592712134347495
190,Ronnie Bell,sfo,WR,2.840616425452474
191,Quentin Johnston,sdg,WR,2.8387577881408594
192,Dante Pettis,chi,WR,2.8325977357405936
193,Chigoziem Okonkwo,oti,TE,2.8238072987704035
194,Dontayvion Wicks,gnb,WR,2.8165317036624344
195,Jalen Nailor,min,WR,2.8056757140103925
196,Foster Moreau,nor,TE,2.8047969580133705
197,Marquez Callaway,pit,WR,2.800704244415432
198,Darius Slayton,nyg,WR,2.788274234369377
199,Michael Gallup,rai,WR,2.779238624593749
200,Evan Engram,jax,TE,2.772194730686744
201,JuJu Smith-Schuster,nwe,WR,2.7552870438186137
202,Jakeem Grant,cle,WR,2.743222829252137
203,Freddie Swain,chi,WR,2.726218994046662
204,Adam Thielen,car,WR,2.721271068000096
205,Shane Zylstra,det,TE,2.71800694510722
206,Ben Skowronek,htx,WR,2.708158853043509
207,Josh Oliver,min,TE,2.7016770498302316
208,Charlie Kolar,rav,TE,2.6879250413828655
209,K.J. Osborn,nwe,WR,2.685069591075401
210,Trent Sherfield,min,WR,2.6844159783735697
211,Johnny Mundt,min,TE,2.677994512111857
212,Dalton Kincaid,buf,TE,2.6760674898789505
213,Khalil Shakir,buf,WR,2.6688179080100176
214,Marcedes Lewis,chi,TE,2.647208168389461
215,Tyler Conklin,nyj,TE,2.6178455858486216
216,Elijah Higgins,crd,WR,2.6167718288186776
217,Noah Gray,kan,TE,2.6152440071443945
218,Gerald Everett,chi,TE,2.5974369767970447
219,Hunter Henry,nwe,TE,2.582399785058461
220,Tommy Sweeney,chi,TE,2.5694308367839898
221,Teagan Quitoriano,htx,TE,2.568874484493195
222,Tyler Higbee,ram,TE,2.554851472775865
223,Jahan Dotson,was,WR,2.5525858011981226
224,Jonathan Mingo,car,WR,2.541547336128925
225,Ashton Dulin,clt,WR,2.540679499187881
226,Zach Ertz,was,TE,2.5393488395537562
227,Trey Palmer,tam,WR,2.5190431966936084
228,Ross Dwelley,atl,TE,2.5005722674365685
229,Pharaoh Brown,sea,TE,2.471993377465857
230,Alec Pierce,clt,WR,2.467174413529128
231,Jalen Guyton,rai,WR,2.4471396025089502
232,Sterling Shepard,tam,WR,2.445070328869549
233,Brandon Johnson,den,WR,2.4352123764375144
234,Jamison Crowder,was,WR,2.4093455597088993
235,Chase Claypool,buf,WR,2.4023873075477495
236,Nelson Agholor,rav,WR,2.3860446460051827
237,Trenton Irwin,cin,WR,2.3816180501216953
238,Dawson Knox,buf,TE,2.379273182129889
239,MyCole Pruitt,pit,TE,2.367719879362807
240,Colby Parkinson,ram,TE,2.3603048786294876
241,David Njoku,cle,TE,2.3454175918228524
242,Lucas Krull,den,TE,2.334649685100492
243,C.J. Uzomah,phi,TE,2.327314157402836
244,Michael Mayer,rai,TE,2.3259968108183253
245,Albert Okwuegbunam,phi,TE,2.3208926911411227
246,Devin Duvernay,jax,WR,2.317471736013035
247,Harrison Bryant,rai,TE,2.2692182088913326
248,River Cracraft,mia,WR,2.2670354056846707
249,Jalen Tolbert,dal,WR,2.249591685194484
