,Rank,Name,Team,Position,Final PPG,Bye Week,ESPN ADP
160,161,Craig Reynolds,Detroit Lions,RB,9.846946062795675,5.0,
161,162,Romeo Doubs,Green Bay Packers,WR,9.841494912606503,10.0,150.0
162,163,Marquez Valdes-Scantling,Buffalo Bills,WR,9.832216474964422,12.0,
163,164,Kendre Miller,New Orleans Saints,RB,9.820209272974822,12.0,201.0
164,165,Chase Claypool,Buffalo Bills,WR,9.797956324442566,12.0,
165,166,Eric Tomlinson,Indianapolis Colts,TE,9.747000322979234,14.0,
166,167,Austin Ekeler,Washington Football Team,RB,9.735459715780946,,80.0
167,168,JuJu Smith-Schuster,New England Patriots,WR,9.73492635818569,14.0,230.0
168,169,Jaelon Darden,Cleveland Browns,WR,9.723583031698018,10.0,
169,170,Khalil Shakir,Buffalo Bills,WR,9.723225870157863,12.0,167.0
170,171,K.J. Osborn,New England Patriots,WR,9.712043903777886,14.0,
171,172,Austin Hooper,New England Patriots,TE,9.696528296169303,14.0,
172,173,James Robinson,New Orleans Saints,RB,9.6893434850784,12.0,
173,174,Alvin Kamara,New Orleans Saints,RB,9.688327060653922,12.0,28.0
174,175,Ray-Ray McCloud,Atlanta Falcons,WR,9.666231718098464,12.0,
175,176,Kevin Harris,New England Patriots,RB,9.66167591690477,14.0,
176,177,Jelani Woods,Indianapolis Colts,TE,9.655544419466404,14.0,
177,178,Tank Bigsby,Jacksonville Jaguars,RB,9.609586451242633,12.0,242.0
178,179,Jeff Driskel,Washington Football Team,QB,9.585186203693912,,
179,180,Samori Toure,Green Bay Packers,WR,9.561528083329751,10.0,
180,181,Pharaoh Brown,Seattle Seahawks,TE,9.51421385896979,10.0,
181,182,Dalton Kincaid,Buffalo Bills,TE,9.506320493192645,12.0,67.0
182,183,Jalen Reagor,New England Patriots,WR,9.489038506053364,14.0,
183,184,Rondale Moore,Atlanta Falcons,WR,9.467527083316746,12.0,241.0
184,185,Zander Horvath,New Orleans Saints,RB,9.44460158325854,12.0,
185,186,KhaDarel Hodge,Atlanta Falcons,WR,9.42310715630498,12.0,
186,187,Nick Mullens,Minnesota Vikings,QB,9.42277892543506,6.0,
187,188,Jarrett Stidham,Denver Broncos,QB,9.37570678405675,14.0,
188,189,Dameon Pierce,Houston Texans,RB,9.36823454143158,14.0,183.0
189,190,Darnell Mooney,Atlanta Falcons,WR,9.35203708498095,12.0,112.0
190,191,Rachaad White,Tampa Bay Buccaneers,RB,9.336308813148673,11.0,38.0
191,192,Mitchell Wilcox,New England Patriots,TE,9.312977224501427,14.0,
192,193,Kyle Pitts,Atlanta Falcons,TE,9.214328857903178,12.0,77.0
193,194,Curtis Samuel,Buffalo Bills,WR,9.197151947402022,12.0,138.0
194,195,Zonovan Knight,Detroit Lions,RB,9.177215830246611,5.0,
195,196,Mitchell Trubisky,Buffalo Bills,QB,9.15143162126449,12.0,
196,197,Luke Farrell,Jacksonville Jaguars,TE,9.137797516974889,12.0,
197,198,Jaxon Smith-Njigba,Seattle Seahawks,WR,9.10189381125735,10.0,103.0
198,199,Dak Prescott,Dallas Cowboys,QB,9.075599660397929,7.0,54.0
199,200,Jake Bobo,Seattle Seahawks,WR,9.074820843799746,10.0,
200,201,Tim Jones,Jacksonville Jaguars,WR,9.066390045818478,12.0,
201,202,Anthony Schwartz,Miami Dolphins,WR,9.058032850304306,6.0,
202,203,Chase Edmonds,Tampa Bay Buccaneers,RB,9.051799565587386,11.0,
203,204,Drake London,Atlanta Falcons,WR,9.043615520308936,12.0,45.0
204,205,Rashid Shaheed,New Orleans Saints,WR,9.0341496194045,12.0,156.0
205,206,Tyler Lockett,Seattle Seahawks,WR,9.031387705518602,10.0,106.0
206,207,Jayden Reed,Green Bay Packers,WR,8.97835733586834,10.0,100.0
207,208,Dawson Knox,Buffalo Bills,TE,8.977104622780297,12.0,219.0
208,209,Foster Moreau,New Orleans Saints,TE,8.976266484397227,12.0,
209,210,David Montgomery,Detroit Lions,RB,8.971528946319282,5.0,61.0
210,211,Tyler Allgeier,Atlanta Falcons,RB,8.968184388339125,12.0,132.0
211,212,Brett Rypien,Chicago Bears,QB,8.920263436669472,7.0,
212,213,Robert Woods,Houston Texans,WR,8.903292809020687,14.0,
213,214,Equanimeous St. Brown,New Orleans Saints,WR,8.863001444334534,12.0,
214,215,Hunter Henry,New England Patriots,TE,8.81158456179115,14.0,194.0
215,216,Kalif Raymond,Detroit Lions,WR,8.794409677467963,5.0,
216,217,Carson Wentz,Kansas City Chiefs,QB,8.774724706021953,6.0,
217,218,Khalil Herbert,Chicago Bears,RB,8.718282061478458,7.0,185.0
218,219,Kyren Williams,St. Louis Rams,RB,8.698091531817116,,9.0
219,220,Juwann Winfree,Indianapolis Colts,WR,8.660197661195827,14.0,
220,221,Juwan Johnson,New Orleans Saints,WR,8.65808298822107,12.0,209.0
221,222,Tyler Davis,Green Bay Packers,TE,8.606207502915492,10.0,
222,223,Andy Isabella,Buffalo Bills,WR,8.579963040044282,12.0,
223,224,Miles Sanders,Carolina Panthers,RB,8.507753730017546,11.0,165.0
224,225,Saquon Barkley,Philadelphia Eagles,RB,8.495910537737657,5.0,10.0
225,226,Kyle Allen,Pittsburgh Steelers,QB,8.492810448040713,9.0,
226,227,J.J. Taylor,Houston Texans,RB,8.473853027736004,14.0,
227,228,Josiah Deguara,Jacksonville Jaguars,TE,8.465853415817234,12.0,
228,229,Sterling Shepard,Tampa Bay Buccaneers,WR,8.405880016758568,11.0,
229,230,Trey Lance,Dallas Cowboys,QB,8.391205059726625,7.0,
230,231,Jimmy Garoppolo,St. Louis Rams,QB,8.378511656694421,,
231,232,Jakeem Grant,Cleveland Browns,WR,8.351325147818722,10.0,
232,233,Christian Kirk,Jacksonville Jaguars,WR,8.34821814055051,12.0,97.0
233,234,Mike White,Miami Dolphins,QB,8.273719455156924,6.0,
234,235,Avery Williams,Atlanta Falcons,RB,8.27362950440573,12.0,
235,236,A.T. Perry,New Orleans Saints,WR,8.228512560579345,12.0,
236,237,Tyrie Cleveland,Indianapolis Colts,WR,8.227009829614794,14.0,
237,238,Derius Davis,San Diego Chargers,WR,8.207137302312228,,
238,239,Drew Lock,New York Giants,QB,8.159197953510365,11.0,
