team,position,penalty,GP,player_display_name,age,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,rrtd,PPG,oline,rb,wr,qb,te
tam,RB,1.0,13,Chase Edmonds,28.0,3.769230769230769,13.538461538461538,0.0,0.0,0.6153846153846154,0,0.0,1.0769230769230769,1.3076923076923077,6.230769230769231,0.0,0.0,-1.9230769230769231,8.538461538461538,0.38461538461538464,0,0.0,0.0,0.0,1.976923076923077,35.33613182131445,9.170362320063637,0,8.640578925033566,0
htx,RB,0.9352941176470588,17,Dare Ogunbowale,30.0,2.9411764705882355,9.294117647058824,0.058823529411764705,0.0,0.7058823529411765,0,0.0,1.2941176470588236,1.9411764705882353,7.176470588235294,0.0,0.0,1.1764705882352942,7.588235294117647,0.29411764705882354,0,0.0,0.0,0.058823529411764705,2.0,32.328801453543015,7.2364731804188915,0,8.20510302659651,0
oti,RB,0.9,7,Hassan Haskins,25.0,3.5714285714285716,13.285714285714286,0.0,0.0,0.7142857142857143,0,0.0,1.5714285714285714,1.7142857142857142,8.142857142857142,0.0,0.0,-0.8571428571428571,8.285714285714286,0.2857142857142857,0,0.0,0.0,0.0,2.1428571428571432,46.36300983647641,11.6242524827737,0,11.44295342345948,0
ram,RB,1.0,7,Ronnie Rivers,25.0,4.571428571428571,18.428571428571427,0.0,0.0,0.5714285714285714,0,0.0,0.7142857142857143,0.7142857142857143,3.142857142857143,0.0,0.0,-2.7142857142857144,5.857142857142857,0.0,0,0.0,0.0,0.0,2.157142857142857,41.10018169287638,10.534824154216832,0,10.084202408081058,0
clt,RB,1.0,8,Trey Sermon,25.0,4.375,20.0,0.0,0.0,0.875,0,0.0,0.375,0.75,1.625,0.0,0.0,1.375,0.75,0.0,0,0.0,0.0,0.0,2.1625,49.37034020424785,11.22889973391381,0,12.484032212907744,0
pit,RB,0.8111111111111112,9,Godwin Igwebuike,30.0,2.3333333333333335,13.555555555555555,0.1111111111111111,0.2222222222222222,0.7777777777777778,0,0.0,0.8888888888888888,1.2222222222222223,7.0,0.0,0.0,2.0,7.111111111111111,0.4444444444444444,0,0.0,0.0,0.1111111111111111,2.2777777777777777,46.36300983647641,8.472317941649438,0,12.262456404151788,0
crd,RB,1.0,15,Michael Carter,25.0,2.0,12.466666666666667,0.0,0.0,0.6,0,0.0,1.6,2.066666666666667,6.733333333333333,0.06666666666666667,0.0,2.2666666666666666,5.8,0.3333333333333333,0,0.0,0.0,0.06666666666666667,2.3200000000000003,42.854457740743065,8.496741511541593,0,11.16143802211102,0
sfo,RB,1.0,10,Kyle Juszczyk,33.0,0.5,0.6,0.0,0.0,0.2,0,0.0,1.4,1.7,11.9,0.2,0.0,7.3,5.8,0.8,0,0.0,0.0,0.2,2.45,49.1197293402669,14.891843060300976,0,11.45347635848502,0
cle,RB,0.9,16,Nyheim Hines,28.0,1.5,2.0625,0.0625,0.0,0.125,0,0.0,1.875,2.3125,15.0625,0.0625,0.0,7.25,11.875,0.6875,0,0.0,0.125,0.125,2.4625000000000004,35.0855209573335,6.38429149507052,0,9.286766749969717,0
htx,RB,0.7636363636363637,11,J.J. Taylor,26.0,4.7272727272727275,14.181818181818182,0.18181818181818182,0.0,0.7272727272727273,0,0.0,0.5454545454545454,0.6363636363636364,1.8181818181818181,0.0,0.09090909090909091,-0.5454545454545454,2.090909090909091,0.0,0,0.0,0.0,0.18181818181818182,2.509090909090909,32.328801453543015,7.2364731804188915,0,8.20510302659651,0
cle,RB,1.0,13,Pierre Strong,26.0,4.846153846153846,22.384615384615383,0.07692307692307693,0.07692307692307693,0.7692307692307693,0,0.0,0.38461538461538464,0.6153846153846154,3.6153846153846154,0.0,0.0,-0.38461538461538464,5.615384615384615,0.07692307692307693,0,0.0,0.0,0.07692307692307693,2.907692307692308,35.0855209573335,6.38429149507052,0,9.286766749969717,0
chi,RB,0.911111111111111,9,Travis Homer,26.0,2.111111111111111,8.222222222222221,0.0,0.0,0.4444444444444444,0,0.0,1.7777777777777777,2.111111111111111,17.444444444444443,0.1111111111111111,0.1111111111111111,2.888888888888889,14.333333333333334,0.7777777777777778,0,0.0,0.0,0.1111111111111111,3.0111111111111106,54.13194661988597,11.557447090992914,0,13.884231101746268,0
cin,RB,0.8428571428571429,14,Chris Evans,27.0,1.3571428571428572,6.357142857142857,0.0,0.0,0.21428571428571427,0,0.0,1.3571428571428572,1.5714285714285714,13.428571428571429,0.21428571428571427,0.0,7.428571428571429,8.642857142857142,0.5714285714285714,0,0.0,0.0,0.21428571428571427,3.2642857142857142,47.86667502036213,10.174745658945705,0,12.288968735027105,0
nwe,RB,0.9444444444444444,9,Kevin Harris,24.0,3.7777777777777777,13.0,0.2222222222222222,0.0,0.5555555555555556,0,0.0,0.3333333333333333,0.3333333333333333,6.444444444444445,0.0,0.0,-0.1111111111111111,6.555555555555555,0.2222222222222222,0,0.0,0.0,0.2222222222222222,3.2777777777777777,52.62828143600025,12.60448542669046,0,13.14285759709256,0
nor,RB,1.0,13,Jamaal Williams,29.0,8.153846153846153,23.53846153846154,0.07692307692307693,0.0,1.4615384615384615,0,0.0,1.3846153846153846,1.5384615384615385,4.769230769230769,0.0,0.0,-2.076923076923077,6.6923076923076925,0.07692307692307693,0,0.0,0.0,0.07692307692307693,3.2923076923076926,57.38988785163836,9.437816045639485,0,15.451812837844908,0
nwe,RB,0.9066666666666666,15,Jamycal Hasty,28.0,3.066666666666667,12.933333333333334,0.13333333333333333,0.0,0.4666666666666667,0,0.0,1.3333333333333333,1.8666666666666667,8.4,0.06666666666666667,0.0,-0.6666666666666666,8.933333333333334,0.4666666666666667,0,0.0,0.0,0.2,3.3333333333333335,52.62828143600025,12.60448542669046,0,13.14285759709256,0
crd,RB,0.9666666666666666,9,Tony Jones,27.0,4.0,13.222222222222221,0.2222222222222222,0.0,1.1111111111111112,0,0.0,1.3333333333333333,2.0,7.444444444444445,0.0,0.0,-4.444444444444445,8.666666666666666,0.1111111111111111,0,0.0,0.0,0.2222222222222222,3.4,42.854457740743065,8.496741511541593,0,11.16143802211102,0
was,RB,0.8,13,Jeremy McNichols,29.0,3.1538461538461537,12.0,0.0,0.0,0.46153846153846156,0,0.0,2.1538461538461537,2.923076923076923,18.46153846153846,0.07692307692307693,0.0,-0.15384615384615385,19.615384615384617,0.8461538461538461,0,0.0,0.0,0.07692307692307693,3.5076923076923077,37.84224046112399,9.878284986168143,0,9.238424927466967,0
kan,RB,1.0,15,Clyde Edwards-Helaire,25.0,4.666666666666667,14.866666666666667,0.06666666666666667,0.0,0.8,0,0.0,1.1333333333333333,1.4666666666666666,12.533333333333333,0.06666666666666667,0.0,-3.6,15.2,0.4666666666666667,0,0.0,0.0,0.13333333333333333,3.54,44.859344652590686,12.19568776065944,0,10.82523671383684,0
sdg,RB,0.8066666666666668,15,Jaret Patterson,25.0,5.666666666666667,22.933333333333334,0.13333333333333333,0.0,1.2,0,0.0,0.6666666666666666,0.8,4.866666666666666,0.0,0.0,0.06666666666666667,5.0,0.3333333333333333,0,0.0,0.0,0.13333333333333333,3.5800000000000005,58.39233130756218,13.009566953032737,0,14.835919960170887,0
buf,RB,1.0,7,Ty Johnson,27.0,4.285714285714286,18.857142857142858,0.0,0.0,1.1428571428571428,0,0.0,1.0,1.0,8.857142857142858,0.14285714285714285,0.0,0.2857142857142857,8.571428571428571,0.2857142857142857,0,0.0,0.0,0.14285714285714285,3.628571428571429,37.09040786918113,11.285326838142094,0,8.63802227726757,0
buf,RB,0.9666666666666666,9,Darrynton Evans,26.0,5.111111111111111,20.555555555555557,0.1111111111111111,0.0,1.4444444444444444,0,0.0,0.8888888888888888,1.4444444444444444,9.11111111111111,0.0,0.0,-1.3333333333333333,11.11111111111111,0.3333333333333333,0,0.0,0.0,0.1111111111111111,3.6333333333333333,37.09040786918113,11.285326838142094,0,8.63802227726757,0
sfo,RB,1.0,11,Elijah Mitchell,26.0,6.818181818181818,25.545454545454547,0.18181818181818182,0.0,1.2727272727272727,0,0.0,0.5454545454545454,0.7272727272727273,1.2727272727272727,0.0,0.0,-2.0,2.3636363636363638,0.18181818181818182,0,0.0,0.0,0.18181818181818182,3.772727272727273,49.1197293402669,14.891843060300976,0,11.45347635848502,0
car,RB,1.0,16,Miles Sanders,27.0,8.0625,27.0,0.0625,0.125,1.5,0,0.0,1.6875,2.5625,9.625,0.0,0.0,1.4375,9.875,0.5,0,0.0,0.0,0.0625,3.7875,49.871561932209765,14.222381460872096,0,11.862108143022702,0
mia,RB,1.0,7,Salvon Ahmed,26.0,3.142857142857143,8.714285714285714,0.14285714285714285,0.0,0.42857142857142855,0,0.0,2.2857142857142856,3.2857142857142856,12.571428571428571,0.14285714285714285,0.0,2.0,15.571428571428571,0.5714285714285714,0,0.0,0.0,0.2857142857142857,3.842857142857143,39.09529478102876,8.02253454026843,0,10.11187299121118,0
cin,RB,1.0,10,Chase Brown,24.0,4.4,17.9,0.0,0.0,0.6,0,0.0,1.4,1.5,15.6,0.1,0.0,-4.5,19.4,0.4,0,0.0,0.0,0.1,3.95,47.86667502036213,10.174745658945705,0,12.288968735027105,0
det,RB,0.9500000000000001,12,Craig Reynolds,28.0,5.333333333333333,23.416666666666668,0.08333333333333333,0.08333333333333333,1.25,0,0.0,1.1666666666666667,1.25,13.583333333333334,0.0,0.0,0.0,13.916666666666666,0.5833333333333334,0,0.0,0.0,0.08333333333333333,4.033333333333333,46.61362070045736,9.49967027799756,0,12.073535386263334,0
phi,RB,1.0,16,Kenneth Gainwell,25.0,5.25,22.75,0.125,0.0625,1.1875,0,0.0625,1.875,2.3125,11.4375,0.0,0.0,4.4375,10.9375,0.6875,0,0.0,0.0,0.125,4.04375,53.12950316396216,14.57062837082567,0,12.78804161074152,0
crd,RB,0.85,10,Marlon Mack,28.0,4.4,18.5,0.1,0.0,1.0,0,0.0,1.0,1.5,10.7,0.1,0.0,0.0,11.8,0.2,0,0.0,0.0,0.2,4.120000000000001,42.854457740743065,8.496741511541593,0,11.16143802211102,0
den,RB,1.0,17,Samaje Perine,29.0,3.1176470588235294,14.0,0.058823529411764705,0.058823529411764705,0.8235294117647058,0,0.0,2.9411764705882355,3.2941176470588234,26.764705882352942,0.0,0.058823529411764705,-0.5882352941176471,27.176470588235293,1.3529411764705883,0,0.0,0.0,0.058823529411764705,4.194117647058825,70.92287450660986,12.9536826874965,0,18.75997934731319,0
den,RB,1.0,17,Jaleel McLaughlin,24.0,4.470588235294118,24.11764705882353,0.058823529411764705,0.0,0.9411764705882353,0,0.0,1.8235294117647058,2.1176470588235294,9.411764705882353,0.11764705882352941,0.0,-8.235294117647058,17.058823529411764,0.29411764705882354,0,0.0,0.0,0.17647058823529413,4.411764705882353,70.92287450660986,12.9536826874965,0,18.75997934731319,0
was,RB,1.0,8,Chris Rodriguez,24.0,6.375,30.875,0.25,0.125,1.75,0,0.0,0.25,0.25,1.5,0.0,0.0,-0.875,2.375,0.125,0,0.0,0.0,0.25,4.487500000000001,37.84224046112399,9.878284986168143,0,9.238424927466967,0
rai,RB,1.0,13,Zamir White,25.0,8.0,34.69230769230769,0.07692307692307693,0.07692307692307693,1.4615384615384615,0,0.0,1.1538461538461537,1.4615384615384615,7.538461538461538,0.0,0.0,0.3076923076923077,7.230769230769231,0.3076923076923077,0,0.0,0.0,0.07692307692307693,4.530769230769231,38.09285132510495,10.179686962068738,0,9.238251003294872,0
chi,RB,1.0,15,Roschon Johnson,23.0,5.4,23.466666666666665,0.13333333333333333,0.0,1.0666666666666667,0,0.0,2.2666666666666666,2.6666666666666665,13.933333333333334,0.0,0.0,-2.2,16.466666666666665,0.4,0,0.0,0.0,0.13333333333333333,4.54,54.13194661988597,11.557447090992914,0,13.884231101746268,0
sea,RB,1.0,16,Zach Charbonnet,23.0,6.75,28.875,0.0625,0.0,2.0,0,0.0,2.0625,2.5,13.0625,0.0,0.0,-2.5625,15.5,0.4375,0,0.0,0.0,0.0625,4.5687500000000005,53.12950316396216,15.29204594774266,0,12.600473040743104,0
sfo,RB,1.0,9,Jordan Mason,25.0,4.444444444444445,22.88888888888889,0.3333333333333333,0.0,1.4444444444444444,0,0.0,0.3333333333333333,0.4444444444444444,3.4444444444444446,0.0,0.0,1.3333333333333333,2.5555555555555554,0.1111111111111111,0,0.0,0.0,0.3333333333333333,4.633333333333334,49.1197293402669,14.891843060300976,0,11.45347635848502,0
dal,RB,1.0,16,Rico Dowdle,26.0,5.5625,22.5625,0.125,0.0,1.0625,0,0.0,1.0625,1.375,9.0,0.125,0.0,-0.6875,10.625,0.375,0,0.0,0.0,0.25,4.65625,54.633168347847885,10.741696934588004,0,14.25270732153566,0
crd,RB,1.0,11,Emari Demercado,25.0,5.2727272727272725,25.818181818181817,0.18181818181818182,0.0,1.0909090909090908,0,0.0,1.9090909090909092,2.727272727272727,10.818181818181818,0.0,0.0,2.4545454545454546,9.909090909090908,0.36363636363636365,0,0.0,0.0,0.18181818181818182,4.754545454545455,42.854457740743065,8.496741511541593,0,11.16143802211102,0
nor,RB,1.0,7,Kendre Miller,22.0,5.857142857142857,22.285714285714285,0.14285714285714285,0.0,1.4285714285714286,0,0.0,1.4285714285714286,1.5714285714285714,16.714285714285715,0.0,0.0,-1.1428571428571428,18.285714285714285,0.7142857142857143,0,0.0,0.0,0.14285714285714285,4.757142857142858,57.38988785163836,9.437816045639485,0,15.451812837844908,0
htx,RB,1.0,13,Dameon Pierce,24.0,11.153846153846153,32.0,0.15384615384615385,0.0,1.0769230769230769,0,0.0,1.0,1.3076923076923077,7.769230769230769,0.0,0.0,1.0769230769230769,7.3076923076923075,0.23076923076923078,0,0.0,0.07692307692307693,0.15384615384615385,4.9,32.328801453543015,7.2364731804188915,0,8.20510302659651,0
nwe,RB,1.0,16,Antonio Gibson,26.0,4.0625,16.5625,0.0625,0.0625,0.8125,0,0.0,3.0,3.6875,24.3125,0.125,0.0625,-0.125,23.5625,1.1875,0,0.0,0.0,0.1875,4.9625,52.62828143600025,12.60448542669046,0,13.14285759709256,0
dal,RB,1.0,9,Royce Freeman,28.0,8.555555555555555,35.44444444444444,0.2222222222222222,0.0,1.8888888888888888,0,0.0,0.1111111111111111,0.2222222222222222,1.4444444444444444,0.0,0.0,0.0,1.5555555555555556,0.1111111111111111,0,0.0,0.0,0.2222222222222222,5.022222222222222,54.633168347847885,10.741696934588004,0,14.25270732153566,0
was,RB,0.8400000000000001,10,Derrick Gore,30.0,5.4,28.2,0.2,0.0,1.3,0,0.0,0.8,0.9,10.5,0.0,0.0,1.1,9.0,0.3,0,0.0,0.0,0.2,5.07,37.84224046112399,9.878284986168143,0,9.238424927466967,0
rav,RB,1.0,16,Justice Hill,27.0,5.25,24.1875,0.1875,0.0,1.125,0,0.0,1.75,2.4375,12.875,0.0625,0.0625,1.4375,14.8125,0.5,0,0.0,0.0,0.25,5.081250000000001,35.83735354927636,6.904745642344119,0,9.386020440364756,0
min,RB,1.0,7,Cam Akers,25.0,8.571428571428571,23.857142857142858,0.2857142857142857,0.0,1.7142857142857142,0,0.0,1.5714285714285714,1.7142857142857142,10.0,0.0,0.0,-1.8571428571428572,11.142857142857142,0.2857142857142857,0,0.0,0.0,0.2857142857142857,5.1,46.86423156443832,12.63344667893255,0,11.336944111582293,0
det,RB,0.9222222222222223,9,Zonovan Knight,23.0,9.777777777777779,34.77777777777778,0.1111111111111111,0.0,1.5555555555555556,0,0.0,1.5555555555555556,1.6666666666666667,12.0,0.0,0.0,-3.888888888888889,16.11111111111111,0.5555555555555556,0,0.0,0.0,0.1111111111111111,5.344444444444445,46.61362070045736,9.49967027799756,0,12.073535386263334,0
oti,RB,1.0,17,Tyjae Spears,23.0,5.882352941176471,26.647058823529413,0.11764705882352941,0.0,1.411764705882353,0,0.0,3.0588235294117645,4.117647058823529,22.647058823529413,0.058823529411764705,0.0,-0.7058823529411765,27.058823529411764,1.0,0,0.0,0.0,0.17647058823529413,5.988235294117648,46.36300983647641,11.6242524827737,0,11.44295342345948,0
min,RB,1.0,13,Ty Chandler,26.0,7.846153846153846,35.46153846153846,0.23076923076923078,0.0,1.5384615384615385,0,0.0,1.6153846153846154,1.9230769230769231,12.23076923076923,0.0,0.0,-3.6153846153846154,15.846153846153847,0.5384615384615384,0,0.0,0.0,0.23076923076923078,6.153846153846154,46.86423156443832,12.63344667893255,0,11.336944111582293,0
rai,RB,1.0,16,Alexander Mattison,26.0,11.25,43.75,0.0,0.125,1.75,0,0.0,1.875,2.75,12.0,0.1875,0.0,1.5,11.3125,0.3125,0,0.0,0.0,0.1875,6.45,38.09285132510495,10.179686962068738,0,9.238251003294872,0
nor,RB,0.9083333333333333,12,James Robinson,26.0,9.25,35.583333333333336,0.25,0.0,1.8333333333333333,0,0.0,1.0,1.25,4.083333333333333,0.16666666666666666,0.0,-0.16666666666666666,5.333333333333333,0.4166666666666667,0,0.0,0.0,0.4166666666666667,6.466666666666667,57.38988785163836,9.437816045639485,0,15.451812837844908,0
car,RB,0.9375,8,Rashaad Penny,28.0,8.5,47.375,0.25,0.0,2.0,0,0.0,0.625,0.75,2.625,0.0,0.0,-1.625,4.25,0.25,0,0.0,0.0,0.25,6.5,49.871561932209765,14.222381460872096,0,11.862108143022702,0
min,RB,0.8105263157894738,19,Myles Gaskin,27.0,9.631578947368421,33.578947368421055,0.15789473684210525,0.05263157894736842,1.4210526315789473,0,0.0,2.789473684210526,3.6315789473684212,13.789473684210526,0.21052631578947367,0.0,2.5789473684210527,14.210526315789474,0.6842105263157895,0,0.0,0.0,0.3684210526315789,6.842105263157896,46.86423156443832,12.63344667893255,0,11.336944111582293,0
atl,RB,1.0,17,Tyler Allgeier,24.0,10.941176470588236,40.1764705882353,0.23529411764705882,0.0,2.2941176470588234,0,0.0,1.0588235294117647,1.3529411764705883,11.352941176470589,0.058823529411764705,0.0,-1.3529411764705883,12.764705882352942,0.35294117647058826,0,0.058823529411764705,0.0,0.29411764705882354,6.91764705882353,46.36300983647641,7.513943652954624,0,12.51163371921244,0
dal,RB,1.0,17,Ezekiel Elliott,29.0,10.823529411764707,37.76470588235294,0.17647058823529413,0.0,1.9411764705882353,0,0.0,3.0,3.823529411764706,18.41176470588235,0.11764705882352941,0.058823529411764705,-2.4705882352941178,22.0,0.7058823529411765,0,0.0,0.0,0.29411764705882354,7.264705882352942,54.633168347847885,10.741696934588004,0,14.25270732153566,0
chi,RB,1.0,12,Khalil Herbert,26.0,11.0,50.916666666666664,0.16666666666666666,0.0,2.0833333333333335,0,0.08333333333333333,1.6666666666666667,2.5833333333333335,11.166666666666666,0.08333333333333333,0.08333333333333333,1.4166666666666667,11.5,0.75,0,0.0,0.0,0.25,7.541666666666667,54.13194661988597,11.557447090992914,0,13.884231101746268,0
nyg,RB,1.0,17,Devin Singletary,27.0,12.705882352941176,52.8235294117647,0.23529411764705882,0.0,2.3529411764705883,0,0.0,1.7647058823529411,2.235294117647059,11.352941176470589,0.0,0.0,0.29411764705882354,13.117647058823529,0.4117647058823529,0,0.0,0.0,0.23529411764705882,7.829411764705882,33.331244909466825,6.438620967877493,0,8.7253069601055,0
pit,RB,1.0,17,Jaylen Warren,26.0,8.764705882352942,46.11764705882353,0.23529411764705882,0.058823529411764705,2.1176470588235294,0,0.0,3.588235294117647,4.352941176470588,21.764705882352942,0.0,0.058823529411764705,-6.764705882352941,28.352941176470587,1.1176470588235294,0,0.0,0.0,0.23529411764705882,7.964705882352941,46.36300983647641,8.472317941649438,0,12.262456404151788,0
den,RB,1.0,16,Javonte Williams,24.0,13.5625,48.375,0.1875,0.0,2.5625,0,0.0625,2.9375,3.625,14.25,0.125,0.0625,-6.1875,18.8125,0.625,0,0.0625,0.0,0.3125,8.0125,70.92287450660986,12.9536826874965,0,18.75997934731319,0
car,RB,1.0,17,Chuba Hubbard,25.0,14.0,53.05882352941177,0.29411764705882354,0.0,3.4705882352941178,0,0.0,2.2941176470588234,2.588235294117647,13.705882352941176,0.0,0.0,-2.0,15.823529411764707,0.5294117647058824,0,0.0,0.0,0.29411764705882354,8.441176470588236,49.871561932209765,14.222381460872096,0,11.862108143022702,0
rav,RB,1.0,7,Keaton Mitchell,22.0,6.714285714285714,56.57142857142857,0.2857142857142857,0.0,2.7142857142857144,0,0.0,1.2857142857142858,1.5714285714285714,13.285714285714286,0.0,0.0,-0.2857142857142857,17.428571428571427,0.7142857142857143,0,0.0,0.0,0.2857142857142857,8.700000000000001,35.83735354927636,6.904745642344119,0,9.386020440364756,0
